"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"wbdeb-112899","LegalEntity","DACTUS AB","","","se","STOCKHOLM, Sweden","","Consultant Guidelines 1.25(a)(i) & (ii) - 2001-03-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112902","LegalEntity","DARESLEY HOLDING, INC.","","","gb","BRITISH VIRGIN ISLANDS, United Kingdom","","Consultant Guidelines 1.25(a)(i) - 2001-03-05 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112904","LegalEntity","DATABAS & NATVERKSIDEER","","","se","STOCKHOLM, Sweden","","Consultant Guidelines 1.25(a)(i) - 2001-03-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112905","LegalEntity","DAVID RIPER","","","us","","","Consultant Guidelines 1.25(a)(i) - 2002-12-19 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112908","LegalEntity","DIGIDATA","","","us","","","Consultant Guidelines 1.25(a)(i) - 2002-12-19 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112911","LegalEntity","EASTERN TRADING LTD.","","","ae","","","Procurement Guidelines 1.15(a)(ii) - 2001-04-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112914","LegalEntity","ENGINEERING PROJECTS INTERNATIONAL","","","gb","LONDON, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112915","LegalEntity","FIRST FUJI LTD.","","","gb","ISLE OF MAN, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112920","LegalEntity","GAP INTERNATIONAL","","","in","-, India","","Procurement Guidelines 1.15(a)(ii) - 2001-04-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112922","LegalEntity","GURPREET SINGH MALIK","","","ng","LAGOS, Nigeria","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112925","LegalEntity","HARLTON INVESTMENTS, INC.","","","ie","","","Consultant Guidelines 1.25(a)(i) - 2001-03-05 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112929","LegalEntity","INFOTEK & CO.","","","gb","LONDON, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112935","LegalEntity","INTER EMIRATES & CO.","","","ae","DUBAI, United Arab Emirates","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112937","LegalEntity","INTERNATIONAL DEVELOPMENT PROJECTS SERVICES","","","gb","LONDON, United Kingdom","","Consultant Guidelines 1.25(a)(i) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112939","LegalEntity","JAN SUNDQVIST","","","se","STOCKHOLM, Sweden","","Procurement Guidelines 1.15(a)(ii) - 2003-08-15 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112942","LegalEntity","KAMAL SHARDA","","","ng","LAGOS, Nigeria","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112944","LegalEntity","KARITEX LIMITED","","","ng","","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-24 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112945","LegalEntity","KNOWLEDGE ENGINEERING","","","us","","","Consultant Guidelines 1.25(a)(i) - 2002-12-19 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
"wbdeb-112947","LegalEntity","LABH SINGH GILL","","","gb","WARWICKSHIRE, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112948","LegalEntity","LABH UNIVERSAL","","","gb","COVENTRY, United Kingdom","","Procurement Guidelines 1.15(a)(i) & (ii) - 2000-02-11 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112996","LegalEntity","MR. CLAES FJELLNER","","","se","STOCKHOLM, Sweden","","Consultant Guidelines 1.25(a)(i) - 2001-03-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2024-11-28T15:03:03"
"wbdeb-112998","LegalEntity","MR. JONAS GYLLENSVAAN","","","us","","","Consultant Guidelines 1.25(a)(i) & (ii) - 2001-03-30 - 2999-12-31","","","","WorldBank Debarred Providers","2023-04-20T12:18:15","2026-03-23T15:03:02","2023-04-20T12:18:15"
